,Occupation,Marital_Status,Purchase_Sum,annual_income,number_of_children,proximity_town,sum,Age_18-25,Age_26-35,Age_36-45,Age_46-50,Age_51-55,Age_55+,Gender_M,City_Category_B,City_Category_C,Stay_In_Current_City_Years_1,Stay_In_Current_City_Years_2,Stay_In_Current_City_Years_3,Stay_In_Current_City_Years_4+
0,10,0,38891,42521.93013,2,2.67710094,38891,0,0,0,0,0,0,0,0,0,0,1,0,0
1,16,0,37417,59199.36954,0,3.589760452,37417,0,0,0,0,0,1,1,0,1,0,0,0,1
2,15,0,49947,40056.02938,1,3.94438982,49947,0,1,0,0,0,0,1,0,0,0,0,1,0
3,7,1,66607,79474.66782,0,2.70260482,66607,0,0,0,1,0,0,1,1,0,0,1,0,0
4,20,1,50684,85567.55715,1,2.841508869,50684,0,1,0,0,0,0,1,0,0,1,0,0,0
5,9,0,70278,58020.52611,0,3.439610494,70278,0,0,0,0,1,0,0,0,0,1,0,0,0
6,1,1,34616,9639.072707,1,2.377544732,34616,0,0,1,0,0,0,1,1,0,1,0,0,0
7,12,1,134364,82230.58058,1,1.122474705,134364,0,1,0,0,0,0,1,0,1,0,0,0,1
8,17,0,54727,37220.34395,0,2.444812037,54727,0,1,0,0,0,0,1,0,1,0,0,0,0
9,1,1,399955,319663.3497,2,2.020528939,399955,0,0,1,0,0,0,0,1,0,0,0,0,1
10,1,0,67977,40263.25382,2,3.154416293,67977,0,1,0,0,0,0,0,0,1,1,0,0,0
11,12,0,22111,0.0,0,1.266215375,22111,0,1,0,0,0,0,1,0,1,0,1,0,0
12,1,1,61611,34571.08364,1,1.907313238,61611,0,0,0,1,0,0,1,0,1,0,0,1,0
13,0,0,22282,0.0,0,5.359201198,22282,0,0,1,0,0,0,1,0,1,0,0,0,0
14,7,0,193522,186897.9136,1,2.940167681,193522,0,1,0,0,0,0,1,0,0,1,0,0,0
15,0,1,25709,48413.98763,0,3.906914514,25709,0,0,1,0,0,0,0,0,1,0,0,0,0
16,1,0,201579,203960.0792,1,4.048134654,201579,0,0,0,0,1,0,1,0,1,0,0,0,0
17,3,0,281990,260387.7669,0,2.196689759,281990,1,0,0,0,0,0,0,1,0,0,0,1,0
18,10,0,254812,241312.098,0,2.611717756,254812,0,0,0,0,0,0,1,0,0,0,0,1,0
19,14,0,27213,0.0,1,31.88922226,27213,0,1,0,0,0,0,1,0,0,0,0,0,0
20,16,0,3055,0.0,1,3.302834391,3055,1,0,0,0,0,0,1,1,0,0,0,0,0
21,15,0,153959,144784.9137,1,0.887268198,153959,1,0,0,0,0,0,1,0,0,0,0,0,1
22,0,1,283463,296779.7193,0,1.826799931,283463,0,0,1,0,0,0,1,1,0,0,0,1,0
23,7,1,52708,29009.65607,1,2.592445866,52708,0,1,0,0,0,0,0,0,0,0,0,1,0
24,4,0,75078,62877.80131,0,2.044345901,75078,1,0,0,0,0,0,1,0,1,0,0,0,1
25,7,1,194900,209208.0551,2,3.328437566,194900,0,1,0,0,0,0,1,1,0,0,1,0,0
26,11,1,58665,51264.65668,2,3.208942737,58665,0,1,0,0,0,0,1,0,1,1,0,0,0
27,1,1,79302,27209.70155,1,3.327025529,79302,0,1,0,0,0,0,0,0,1,0,1,0,0
28,7,0,73713,77964.66263,0,3.302017073,73713,0,0,1,0,0,0,1,0,1,1,0,0,0
29,7,0,20828,32888.93342,0,3.849392087,20828,0,0,1,0,0,0,0,0,1,0,0,1,0
30,7,0,71197,93655.23155,2,3.959010228,71197,0,0,0,0,0,1,1,0,1,0,1,0,0
31,0,1,7134,18287.18892,0,4.438036272,7134,0,1,0,0,0,0,0,0,1,0,0,1,0
32,3,1,324176,270791.2174,3,3.351325029,324176,0,0,0,1,0,0,1,0,0,1,0,0,0
33,0,0,124298,105055.4838,1,1.955871428,124298,1,0,0,0,0,0,0,0,0,0,0,0,0
34,1,1,111702,82033.1719,0,2.560714082,111702,0,0,0,1,0,0,1,0,1,0,0,0,1
35,3,0,456745,485936.3358,1,0.872530457,456745,0,1,0,0,0,0,1,1,0,0,0,0,0
36,9,0,32272,53993.39104,2,1.253891018,32272,0,1,0,0,0,0,0,0,1,1,0,0,0
37,4,0,63100,47046.08252,2,3.015517367,63100,1,0,0,0,0,0,1,1,0,0,1,0,0
38,4,0,11940,64982.82962,1,4.84447496,11940,1,0,0,0,0,0,0,0,1,0,0,1,0
39,8,1,179003,170314.2821,1,3.499029015,179003,0,1,0,0,0,0,1,0,1,0,0,0,0
40,12,0,47223,27649.26989,0,2.891009739,47223,0,1,0,0,0,0,1,0,0,0,0,0,0
41,17,1,238395,272139.5055,0,2.966107882,238395,0,0,0,1,0,0,1,1,0,0,0,1,0
42,16,1,140430,179844.0873,2,3.493467805,140430,0,0,0,1,0,0,0,0,0,1,0,0,0
43,19,0,28470,46886.81302,2,1.653929434,28470,1,0,0,0,0,0,1,0,1,0,0,0,1
44,4,1,14955,0.0,0,3.058771501,14955,1,0,0,0,0,0,1,0,1,0,0,0,1
45,4,1,458947,417692.5391,0,1.937714407,458947,0,1,0,0,0,0,1,1,0,0,0,1,0
46,12,1,147574,103495.0997,0,3.204936128,147574,1,0,0,0,0,0,1,0,1,0,0,0,1
47,2,1,25493,37562.48462,0,2.192737331,25493,0,1,0,0,0,0,0,0,0,1,0,0,0
48,10,0,17271,97764.66114,1,2.756314341,17271,0,0,0,0,0,0,0,0,1,0,1,0,0
49,4,0,85019,66747.43016,0,2.64490701,85019,1,0,0,0,0,0,1,0,1,0,0,0,0
50,0,0,748224,761366.1706,1,1.503237611,748224,0,1,0,0,0,0,1,1,0,1,0,0,0
51,1,1,18437,2193.001995,1,2.24288922,18437,0,0,0,0,1,0,1,0,1,0,0,0,1
52,12,0,29404,72712.59425,4,5.92783343,29404,0,0,1,0,0,0,0,1,0,1,0,0,0
53,20,1,44502,81251.2364,1,2.944943723,44502,0,0,1,0,0,0,1,0,1,0,0,0,0
54,19,0,83315,93159.53142,0,1.810247617,83315,1,0,0,0,0,0,1,0,1,0,1,0,0
55,2,0,343035,375062.4685,0,2.79248997,343035,0,1,0,0,0,0,1,1,0,0,0,1,0
56,1,1,179658,196158.2922,0,3.384476451,179658,0,0,0,0,1,0,0,1,0,0,0,0,1
57,1,1,38450,45175.42021,1,2.200496367,38450,0,0,0,0,1,0,1,0,1,1,0,0,0
58,17,0,38101,33423.41336,1,2.995320206,38101,0,1,0,0,0,0,1,0,1,1,0,0,0
59,3,0,312703,288973.2957,0,4.647707073,312703,0,0,1,0,0,0,0,0,0,1,0,0,0
60,4,0,46023,40796.58864,2,3.993389312,46023,1,0,0,0,0,0,1,0,1,0,1,0,0
61,1,1,19462,41226.21541,1,2.094380164,19462,1,0,0,0,0,0,1,0,0,1,0,0,0
62,12,1,123749,61961.0817,1,2.874235082,123749,0,0,1,0,0,0,1,0,1,0,1,0,0
63,18,0,18785,19249.53953,1,2.284039343,18785,0,1,0,0,0,0,1,0,1,0,1,0,0
64,5,1,48962,27713.94221,2,1.65630481,48962,0,0,0,0,1,0,0,0,1,0,0,0,1
65,4,0,54395,60335.82357,2,4.41640739,54395,1,0,0,0,0,0,1,0,0,0,0,0,0
66,1,0,29562,33811.70756,4,2.610578682,29562,0,1,0,0,0,0,0,0,0,1,0,0,0
67,4,0,21166,0.0,2,3.044166551,21166,1,0,0,0,0,0,1,0,0,0,1,0,0
68,14,1,45258,38016.04786,0,3.417245041,45258,0,1,0,0,0,0,1,0,0,0,0,0,0
69,0,1,41930,80581.94242,1,,41930,0,0,0,1,0,0,0,1,0,1,0,0,0
70,4,0,201012,234726.8005,0,11.65559941,201012,1,0,0,0,0,0,1,0,0,0,0,0,1
71,14,1,27990,31836.64604,0,43.12273849,27990,0,0,1,0,0,0,1,0,0,0,1,0,0
72,10,0,209433,216383.0716,0,1.86883383,209433,0,0,0,0,0,0,0,0,1,0,0,0,1
73,7,1,91029,77573.85584,0,38.47519514,91029,0,0,1,0,0,0,1,1,0,0,1,0,0
74,4,0,18485,18841.9872,1,2.172653746,18485,1,0,0,0,0,0,1,0,1,0,1,0,0
75,1,1,56536,19157.76806,1,33.31317375,56536,0,0,0,1,0,0,0,0,1,0,0,0,0
76,0,0,32538,15577.38669,1,11.9247349,32538,0,0,0,1,0,0,0,0,0,1,0,0,0
77,1,1,27895,30066.205,0,0.8778259,27895,0,0,0,0,0,1,1,0,1,0,0,1,0
78,0,1,95597,154394.5891,1,,95597,0,1,0,0,0,0,0,0,0,1,0,0,0
79,17,1,79346,66278.94667,1,53.4121328,79346,0,1,0,0,0,0,1,0,1,0,1,0,0
80,2,0,79168,57327.35885,0,1.11683369,79168,0,1,0,0,0,0,0,0,1,1,0,0,0
81,4,0,43339,60857.03306,2,4.82199496,43339,1,0,0,0,0,0,1,0,1,1,0,0,0
82,4,0,26525,42884.11242,0,7.11622388,26525,1,0,0,0,0,0,1,0,1,1,0,0,0
83,10,0,84791,59774.73024,1,8.37455651,84791,0,0,0,0,0,0,0,0,1,0,0,1,0
84,14,0,49038,0.0,1,0.138316791,49038,0,1,0,0,0,0,1,0,1,0,1,0,0
85,1,1,36777,15628.99646,1,37.5219673,36777,0,0,0,1,0,0,0,0,1,1,0,0,0
86,9,1,20479,14534.21631,2,21.85465959,20479,0,0,0,0,0,1,0,0,1,1,0,0,0
87,13,0,212735,159998.5137,1,3.662513485,212735,0,0,0,0,0,1,1,0,1,1,0,0,0
